team,total_games,favorite_games,underdog_games,favorite_cover_rate,underdog_cover_rate,overall_cover_rate
KC,8,0,8,,1.0,1.0
PHI,9,0,9,,1.0,1.0
BUF,8,0,8,,1.0,1.0
DET,9,0,9,,0.8888888888888888,0.8888888888888888
MIN,9,3,6,1.0,0.8333333333333334,0.8888888888888888
WAS,9,1,8,0.0,1.0,0.8888888888888888
GB,9,2,7,0.5,1.0,0.8888888888888888
BAL,8,0,8,,0.875,0.875
MIA,8,1,7,1.0,0.7142857142857143,0.75
DEN,8,2,6,0.0,1.0,0.75
HOU,8,2,6,0.0,1.0,0.75
ARI,9,4,5,0.75,0.6,0.6666666666666666
SF,9,1,8,0.0,0.75,0.6666666666666666
LAC,8,2,6,0.0,0.8333333333333334,0.625
IND,8,4,4,0.25,1.0,0.625
CIN,8,1,7,0.0,0.7142857142857143,0.625
NYJ,8,2,6,0.0,0.8333333333333334,0.625
ATL,9,2,7,0.0,0.7142857142857143,0.5555555555555556
TB,9,4,5,0.25,0.8,0.5555555555555556
PIT,8,4,4,0.25,0.75,0.5
CHI,9,5,4,0.2,0.75,0.4444444444444444
JAX,8,5,3,0.2,0.6666666666666666,0.375
LA,9,6,3,0.16666666666666666,0.6666666666666666,0.3333333333333333
SEA,9,6,3,0.16666666666666666,0.6666666666666666,0.3333333333333333
CLE,8,6,2,0.16666666666666666,0.5,0.25
LV,8,6,2,0.16666666666666666,0.5,0.25
NO,9,7,2,0.14285714285714285,0.5,0.2222222222222222
TEN,8,3,5,0.0,0.2,0.125
NE,8,8,0,0.125,,0.125
NYG,9,9,0,0.1111111111111111,,0.1111111111111111
CAR,9,8,1,0.125,0.0,0.1111111111111111
DAL,9,7,2,0.0,0.5,0.1111111111111111
